timestamp,open,high,low,close,volume
2024-08-18 16:00:00,0.4168,0.4184,0.4135,0.4182,3721846.9
2024-08-18 20:00:00,0.4182,0.4191,0.4111,0.4116,4921625.1
2024-08-19 00:00:00,0.4117,0.4176,0.4093,0.4154,6978469.8
2024-08-19 04:00:00,0.4154,0.4212,0.413,0.4172,8178761.3
2024-08-19 08:00:00,0.4172,0.4225,0.4153,0.4177,10609472.2
2024-08-19 12:00:00,0.4177,0.4266,0.4161,0.4234,15770239.3
2024-08-19 16:00:00,0.4235,0.4298,0.4198,0.4291,13181533.1
2024-08-19 20:00:00,0.4291,0.4305,0.427,0.4301,4818573.2
2024-08-20 00:00:00,0.43,0.4431,0.4287,0.4422,8508966.1
2024-08-20 04:00:00,0.4423,0.4455,0.44,0.443,8055497.6
2024-08-20 08:00:00,0.443,0.4434,0.4375,0.4388,6839245.5
2024-08-20 12:00:00,0.4388,0.4543,0.4385,0.4439,21662905.3
2024-08-20 16:00:00,0.4438,0.4566,0.4432,0.4553,13565187.0
2024-08-20 20:00:00,0.4554,0.4669,0.4536,0.4615,10984169.0
2024-08-21 00:00:00,0.4614,0.4663,0.4562,0.4648,14457936.0
2024-08-21 04:00:00,0.4648,0.475,0.4642,0.4748,11463609.2
2024-08-21 08:00:00,0.4747,0.4842,0.469,0.4785,25716930.1
2024-08-21 12:00:00,0.4785,0.4875,0.4724,0.4855,23716470.6
2024-08-21 16:00:00,0.4855,0.53,0.4825,0.5186,56528946.4
2024-08-21 20:00:00,0.5188,0.529,0.5146,0.5251,25504839.8
2024-08-22 00:00:00,0.525,0.5399,0.5226,0.5393,33274973.8
2024-08-22 04:00:00,0.5393,0.5396,0.5244,0.5298,30349148.1
2024-08-22 08:00:00,0.5299,0.5325,0.5154,0.5167,26609009.0
2024-08-22 12:00:00,0.5166,0.5261,0.5166,0.5236,17639402.9
2024-08-22 16:00:00,0.5236,0.535,0.5188,0.5313,14718974.9
2024-08-22 20:00:00,0.5314,0.5386,0.53,0.532,10017287.1
2024-08-23 00:00:00,0.5319,0.536,0.5239,0.5298,20088340.8
2024-08-23 04:00:00,0.5298,0.5388,0.5289,0.535,11855164.7
2024-08-23 08:00:00,0.535,0.5446,0.526,0.5278,18234019.8
2024-08-23 12:00:00,0.5278,0.5336,0.5186,0.5261,16306875.8
2024-08-23 16:00:00,0.5261,0.5364,0.5234,0.5349,19081557.1
2024-08-23 20:00:00,0.5348,0.5427,0.534,0.5377,17900425.5
2024-08-24 00:00:00,0.5377,0.545,0.5332,0.5391,11804558.5
2024-08-24 04:00:00,0.5391,0.5395,0.5308,0.5312,7970914.6
2024-08-24 08:00:00,0.5313,0.5382,0.5309,0.5363,10972538.8
2024-08-24 12:00:00,0.5363,0.5519,0.5354,0.5432,25114232.7
2024-08-24 16:00:00,0.5431,0.5801,0.5425,0.5738,40885421.6
2024-08-24 20:00:00,0.5738,0.5819,0.562,0.5711,20642428.4
2024-08-25 00:00:00,0.5711,0.575,0.5494,0.5529,29060952.9
2024-08-25 04:00:00,0.553,0.553,0.5305,0.5335,21550907.3
2024-08-25 08:00:00,0.5335,0.5386,0.5309,0.5331,14037924.2
2024-08-25 12:00:00,0.5331,0.5397,0.5293,0.5319,15026088.7
